"REF_DATE","GEO","DGUID","Area of residence","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Newfoundland and Labrador","2016A000210","South Korea","Total expenditures","Dollars","81","thousands","3","v1139468264","2.11.1","909","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","South Korea","Accommodation","Dollars","81","thousands","3","v1139468589","2.11.2","321","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","South Korea","Clothes and gifts","Dollars","81","thousands","3","v1139468914","2.11.3","88","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","South Korea","Food and beverage","Dollars","81","thousands","3","v1139469239","2.11.4","179","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","South Korea","Recreation and entertainment","Dollars","81","thousands","3","v1139469564","2.11.5","132","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","South Korea","Transportation","Dollars","81","thousands","3","v1139469889","2.11.6","121","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","South Korea","Other types of expenditures","Dollars","81","thousands","3","v1139470214","2.11.7","67","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Japan","Total expenditures","Dollars","81","thousands","3","v1139468289","2.12.1","902","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Japan","Accommodation","Dollars","81","thousands","3","v1139468614","2.12.2","336","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Japan","Clothes and gifts","Dollars","81","thousands","3","v1139468939","2.12.3","83","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Japan","Food and beverage","Dollars","81","thousands","3","v1139469264","2.12.4","151","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Japan","Recreation and entertainment","Dollars","81","thousands","3","v1139469589","2.12.5","131","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Japan","Transportation","Dollars","81","thousands","3","v1139469914","2.12.6","135","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Japan","Other types of expenditures","Dollars","81","thousands","3","v1139470239","2.12.7","67","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Other countries","Total expenditures","Dollars","81","thousands","3","v1139468314","2.13.1","2438","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Other countries","Accommodation","Dollars","81","thousands","3","v1139468639","2.13.2","920","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Other countries","Clothes and gifts","Dollars","81","thousands","3","v1139468964","2.13.3","331","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Other countries","Food and beverage","Dollars","81","thousands","3","v1139469289","2.13.4","549","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Other countries","Recreation and entertainment","Dollars","81","thousands","3","v1139469614","2.13.5","171","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Other countries","Transportation","Dollars","81","thousands","3","v1139469939","2.13.6","377","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Other countries","Other types of expenditures","Dollars","81","thousands","3","v1139470264","2.13.7","90","D","","","0"
"2018-01","Prince Edward Island","2016A000211","Total, area of residence","Total expenditures","Dollars","81","thousands","3","v1139468015","3.1.1","14380","B","","","0"
"2018-01","Prince Edward Island","2016A000211","Total, area of residence","Accommodation","Dollars","81","thousands","3","v1139468340","3.1.2","4376","B","","","0"
